Imp,Av_Best,Peak_Best,NImprovements
impr1,11.3211579746125,10.2302646703938,5993
impr2,13.1687909552285,11.7928881642328,5653
impr3,10.6096184072102,8.27326628040652,5892
impr4,10.3852384318743,8.56866456939317,3402
impr5,7.87455164008148,7.52862891179143,3153
,14.5556895197827,12.8076349540395,0
impr1,10.2662609869363,9.62597953255772,14973
impr2,11.6964988586507,10.8511711938562,14161
impr3,10.841816923917,9.87421416570687,14872
impr4,10.0811600453701,8.54998812166583,8581
impr5,7.79692997510527,7.46534615082878,7579
,12.7165072263601,11.3653275323384,0
impr1,10.2126855868729,9.54979103975198,23997
impr2,11.3313133588503,10.5027058851042,23132
impr3,10.6543466473139,9.81477513938361,23780
impr4,9.72329794134069,8.86537251435756,13438
impr5,7.63645290926906,7.37743141572466,11870
,11.8242393481149,9.84177630656134,0
impr1,9.71885295525224,8.70380488904886,29994
impr2,10.7759650675907,9.62030898677953,28980
impr3,10.2916936954975,9.60061939132056,29653
impr4,9.69009437981633,9.09615284187981,17265
impr5,7.61474615210649,7.23852169485448,15225
,11.2847487856536,10.5013735024694,0
impr1,9.73266542382039,8.51201776911444,35996
impr2,11.0102583771426,10.3475952645181,35483
impr3,10.1842640445082,9.33566284927928,35635
impr4,9.8232752169985,9.07604640751476,20871
impr5,7.56087294338756,7.13852060853614,17635
,10.8485508000042,9.85806562540425,0
