,NIND,ELITIST,PR_CROSS,PR_MUT,LOCALLOOP,Av_Best,Peak_Best,Fit_var
16,50,0.0,1.0,0.2,0,17.0354616681331,16.088030316007398,0.128294348351391
14,50,0.0,1.0,0.05,0,16.964314030455302,16.1863951966259,0.137007325690009
12,50,0.0,1.0,0.0,0,16.8692063893002,16.3483658897118,0.111731921897021
10,50,0.0,0.9,0.2,0,16.8327400154777,16.4597656967969,0.109354450817145
8,50,0.0,0.9,0.05,0,16.7746421189908,16.1666128501331,0.148185377076918
6,50,0.0,0.9,0.0,0,16.7477514120846,16.1099041384025,0.11691810812819001
66,100,0.0,1.0,0.0,0,16.709455530364803,15.936145173906699,0.146551119087051
60,100,0.0,0.9,0.0,0,16.6381648713992,15.670821431296401,0.118954946612385
70,100,0.0,1.0,0.2,0,16.6234162933933,16.0196061331314,0.108540958382095
64,100,0.0,0.9,0.2,0,16.6214894399875,16.0656402126741,0.11305945329919802
