NIND,ELITIST,PR_CROSS,PR_MUT,LOCALLOOP,NVAR,Av_Best,Peak_Best,Fit_Var,Fit_var
50,0,0.5,0,0,0,23.2665049848694,22.325797105543,0,0.282330702402353
50,0,0.5,0,1,0,13.2209562554311,12.225564240513,0,0.300425749649679
50,0,0.5,0.05,0,0,22.6772587101932,21.4378505875298,0,0.503128870622106
50,0,0.5,0.05,1,0,12.5594859235691,10.9678814168364,0,0.268620924380042
50,0,0.5,0.2,0,0,23.1094397662374,22.0906458024866,0,0.222987278343209
50,0,0.5,0.2,1,0,12.8924660617987,11.9017223061381,0,0.152285117680558
50,0,0.9,0,0,0,25.0878880275598,24.3132400732635,0,0.149097364112292
50,0,0.9,0,1,0,14.1496185697379,13.0799681719493,0,0.13914722011578
50,0,0.9,0.05,0,0,24.9370683518726,23.9399044707651,0,0.210550597923307
50,0,0.9,0.05,1,0,13.9382547588451,12.870953023338,0,0.205636109572606
50,0,0.9,0.2,0,0,24.9783544222617,23.438007131419,0,0.237467395854504
50,0,0.9,0.2,1,0,14.1956133330841,13.2191292408894,0,0.130409698394825
50,0,1,0,0,0,25.1208607394447,24.3865972477029,0,0.146044649383113
50,0,1,0,1,0,14.9964306698484,14.2894772990521,0,0.231604781304974
50,0,1,0.05,0,0,25.1131212613613,24.4095311789929,0,0.166140873687182
50,0,1,0.05,1,0,15.0383797252643,14.3975843495095,0,0.0882002873125594
50,0,1,0.2,0,0,25.0783577471331,24.5792005494196,0,0.0984115617751255
50,0,1,0.2,1,0,15.0564482958838,13.2091942258574,0,0.334953894800451
50,0.05,0.5,0,0,0,23.779241718145,22.2711047315661,0,0.730025308853168
50,0.05,0.5,0,1,0,13.59365067662,12.2506513602872,0,0.305514324823675
50,0.05,0.5,0.05,0,0,20.5477879002025,19.7439814169467,0,0.244165692066275
50,0.05,0.5,0.05,1,0,11.967376405305,10.9924946009641,0,0.272909861895765
50,0.05,0.5,0.2,0,0,20.3040606295738,18.5838108659623,0,0.354793569630664
50,0.05,0.5,0.2,1,0,11.4898636693779,10.1786126873443,0,0.301847054783714
50,0.05,0.9,0,0,0,23.844849108425,23.128178335905,0,0.161335969863597
50,0.05,0.9,0,1,0,13.5634051707788,12.7688966872945,0,0.228889533129112
50,0.05,0.9,0.05,0,0,23.7673797278587,22.8899969820413,0,0.222048372837379
50,0.05,0.9,0.05,1,0,13.5591065089363,13.0367865095708,0,0.106531016754785
50,0.05,0.9,0.2,0,0,23.9244453110817,23.0405531583205,0,0.186084738055334
50,0.05,0.9,0.2,1,0,13.6038288966319,12.6048593196794,0,0.256123850999293
50,0.05,1,0,0,0,24.1022349866366,23.0742794218864,0,0.263777110455095
50,0.05,1,0,1,0,14.5274988420503,13.5807945983598,0,0.261137873742898
50,0.05,1,0.05,0,0,24.1548859609902,23.5593896076169,0,0.101645853551268
50,0.05,1,0.05,1,0,14.7544821712296,14.0044268296789,0,0.188695102430595
50,0.05,1,0.2,0,0,24.274684779799,23.6101343699333,0,0.142661174488836
50,0.05,1,0.2,1,0,14.4080320175519,13.2700171171206,0,0.437738783534108
50,0.2,0.5,0,0,0,24.4734208505508,22.4223570683337,0,1.0927445081226
50,0.2,0.5,0,1,0,14.6582325884402,12.402499183882,0,0.785791071478161
50,0.2,0.5,0.05,0,0,20.4451040795583,19.3813304342974,0,1.06053481521687
50,0.2,0.5,0.05,1,0,12.9435770126168,11.7456633726355,0,0.935717127969872
50,0.2,0.5,0.2,0,0,20.0206489112355,19.1854890428835,0,0.200129118615144
50,0.2,0.5,0.2,1,0,11.6614034628312,10.5939029661055,0,0.255595967490088
50,0.2,0.9,0,0,0,22.8133801869716,21.6805923582737,0,0.523929241922408
50,0.2,0.9,0,1,0,14.1712673841347,13.3540171053765,0,0.534862096650283
50,0.2,0.9,0.05,0,0,21.1622978502608,19.7542549354174,0,0.678268854159367
50,0.2,0.9,0.05,1,0,12.8495603638787,11.9307136412052,0,0.310934734048597
50,0.2,0.9,0.2,0,0,20.9274912514301,19.8198061852034,0,0.252582582775999
50,0.2,0.9,0.2,1,0,12.537386912437,11.3808814229301,0,0.280721139978889
50,0.2,1,0,0,0,22.4614120057457,21.2761070840584,0,0.244457795520625
50,0.2,1,0,1,0,14.4775641099755,12.9918915656643,0,0.591770740030722
50,0.2,1,0.05,0,0,22.1269089923818,21.1190061236147,0,0.247873417261332
50,0.2,1,0.05,1,0,13.45899294109,12.2447862376043,0,0.647653704771341
50,0.2,1,0.2,0,0,21.9062653914917,20.8808615224906,0,0.261850218450326
50,0.2,1,0.2,1,0,13.5322007424079,12.3979496165344,0,0.517658579832659
100,0,0.5,0,0,0,22.6056938388089,21.7148970451993,0,0.277639621402257
100,0,0.5,0,1,0,12.7539840390948,12.1287516024303,0,0.171037361067335
100,0,0.5,0.05,0,0,22.533034860654,21.5557055151744,0,0.279264903353207
100,0,0.5,0.05,1,0,12.1902484047838,11.0239245640923,0,0.160821504610702
100,0,0.5,0.2,0,0,22.609744220205,21.8837688329489,0,0.134669275986435
100,0,0.5,0.2,1,0,12.5230343933185,11.619400304722,0,0.128841180638188
100,0,0.9,0,0,0,24.6088942883224,23.6259430033457,0,0.147495098787203
